Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0350039C;Collège Pierre de Dreux;COLLEGE;PIERRE DE DREUX;Public;28 rue du Stade;;30;35140;ST AUBIN DU CORMIER;Saint-Aubin-du-Cormier;373299.2;6804526.4;EPSG:2154;48.25905313802932;-1.4043693892032503;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35253;Ille-et-Vilaine;Bretagne;Rennes;48.25905313802932, -1.4043693892032503;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350052S;Collège Pierre Perrin;COLLEGE;PIERRE PERRIN;Public;7 rue de la Libération;TREMBLAY;;35460;VAL COUESNON;Val-Couesnon;369200.2;6823095.5;EPSG:2154;48.42378333707708;-1.47368028376312;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35004;Ille-et-Vilaine;Bretagne;Rennes;48.42378333707708, -1.47368028376312;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350057X;Collège Jacques Prévert;COLLEGE;JACQUES PREVERT;Public;Rue RENE CUTTE;;3;35850;ROMILLE;Romillé;336697.4;6802236.8;EPSG:2154;48.219106849799665;-1.894700191160429;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35245;Ille-et-Vilaine;Bretagne;Rennes;48.219106849799665, -1.894700191160429;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350781J;Collège privé Notre-Dame du Vieux Cours;COLLEGE PRIVE;NOTRE DAME DU VIEUX COURS;Privé;11 rue de Plélo;;;35000;RENNES;Rennes;351967.5;6788763.1;EPSG:2154;48.106415392837775;-1.6787187617227946;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.106415392837775, -1.6787187617227946;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350839X;Collège privé Saint Hélier;COLLEGE PRIVE;SAINT-HELIER;Privé;7 rue FRERE SALOMON;;;35000;RENNES;Rennes;353304.8;6788329.9;EPSG:2154;48.10323527620077;-1.6604394705236643;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.10323527620077, -1.6604394705236643;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350866B;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;45 RUE PAUL PAINLEVE;;;35150;JANZE;Janzé;364847.2;6771585.9;EPSG:2154;47.958827024626494;-1.4928296304976225;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35136;Ille-et-Vilaine;Bretagne;Rennes;47.958827024626494, -1.4928296304976225;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350872H;Collège privé Saint Louis-Marie;COLLEGE PRIVE;ST LOUIS-MARIE;Privé;11 boulevard Carnot;;36268;35162;MONTFORT SUR MEU CEDEX;Montfort-sur-Meu;331999.0;6793373.7;EPSG:2154;48.136877321632696;-1.950359482579078;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35188;Ille-et-Vilaine;Bretagne;Rennes;48.136877321632696, -1.950359482579078;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350875L;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;19 rue Pasteur;;;35550;PIPRIAC;Pipriac;329790.3;6756912.0;EPSG:2154;47.80814869523126;-1.949290412716371;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35219;Ille-et-Vilaine;Bretagne;Rennes;47.80814869523126, -1.949290412716371;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350881T;Collège privé Saint Michel;COLLEGE PRIVE;ST MICHEL;Privé;6 rue des Ecoles;;;35250;ST AUBIN D AUBIGNE;Saint-Aubin-d'Aubigné;358128.3;6805735.2;EPSG:2154;48.262124933387824;-1.609389934646571;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35251;Ille-et-Vilaine;Bretagne;Rennes;48.262124933387824, -1.609389934646571;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350885X;Collège privé Julien Maunoir;COLLEGE PRIVE;JULIEN MAUNOIR;Privé;6 RUE DE LA FIEFFE;;;35420;ST GEORGES DE REINTEMBAULT;Saint-Georges-de-Reintembault;386843.2;6831678.2;EPSG:2154;48.50963197731026;-1.2417795209150162;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35271;Ille-et-Vilaine;Bretagne;Rennes;48.50963197731026, -1.2417795209150162;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350891D;Collège privé Saint Joseph - La Salle;COLLEGE PRIVE;ST JOSEPH - LA SALLE;Privé;2 rue St-Jean-Baptiste-de-la-Salle;;;35190;TINTENIAC;Tinténiac;342298.3;6813850.7;EPSG:2154;48.326505225326756;-1.8289867272679994;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35337;Ille-et-Vilaine;Bretagne;Rennes;48.326505225326756, -1.8289867272679994;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350916F;Collège Duguay-Trouin;COLLEGE;DUGUAY-TROUIN;Public;5 rue HENRI LEMARIE;;;35400;ST MALO;Saint-Malo;333944.0;6851091.6;EPSG:2154;48.65621634852129;-1.9730994711418013;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35288;Ille-et-Vilaine;Bretagne;Rennes;48.65621634852129, -1.9730994711418013;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1969-03-18
0350963G;Collège des Hautes Ourmes;COLLEGE;DES HAUTES OURMES;Public;7 avenue DE POLOGNE;;80426;35204;RENNES CEDEX 2;Rennes;354034.3;6786754.2;EPSG:2154;48.08946765302947;-1.649410128522291;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.08946765302947, -1.649410128522291;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-09-12
0350965J;Collège Le Landry;COLLEGE;LE LANDRY;Public;29  AVENUE DE CORK;;10713;35207;RENNES CEDEX 2;Rennes;354119.0;6787647.6;EPSG:2154;48.09753788927972;-1.6489805465114107;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.09753788927972, -1.6489805465114107;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-03-12
0350969N;Collège Bellevue;COLLEGE;BELLEVUE;Public;2 rue DE BELLEVUE;;80235;35602;REDON CEDEX;Redon;319179.2;6740634.0;EPSG:2154;47.655874021168884;-2.0767905322319713;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35236;Ille-et-Vilaine;Bretagne;Rennes;47.655874021168884, -2.0767905322319713;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-03-12
0351799R;Collège des Fontaines;COLLEGE;DES FONTAINES;Public;8 rue DU 14 JUILLET;;93066;35130;LA GUERCHE DE BRETAGNE;La Guerche-de-Bretagne;383997.2;6768251.6;EPSG:2154;47.93838483274646;-1.2342302484611762;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35125;Ille-et-Vilaine;Bretagne;Rennes;47.93838483274646, -1.2342302484611762;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1973-03-20
0352071L;Collège privé Joséphine-Bakhita;COLLEGE PRIVE;JOSEPHINE-BAKHITA;Privé;29 boulevard Emile-Combes;;;35000;RENNES;Rennes;352733.8;6787318.2;EPSG:2154;48.09384402862993;-1.6672943520074563;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.09384402862993, -1.6672943520074563;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0352691K;Collège Andrée Récipon;COLLEGE;ANDREE RECIPON;Public;6 rue DE PONT-PEAN;;;35230;ORGERES;Orgères;352031.7;6777228.9;EPSG:2154;48.002837465005314;-1.6687005114684557;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35208;Ille-et-Vilaine;Bretagne;Rennes;48.002837465005314, -1.6687005114684557;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2005-09-01
0352894F;Collège privé HC Ste-Philomène;COLLEGE;STE PHILOMENE;Privé;Chemin DE LA FOUINARDIERE;;;35760;ST GREGOIRE;Saint-Grégoire;350481.0;6795183.1;EPSG:2154;48.16328843938766;-1.7037903805799988;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35278;Ille-et-Vilaine;Bretagne;Rennes;48.16328843938766, -1.7037903805799988;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2016-10-01
0352910Y;Ecole privée hors contrat HOLISKOL;EC PRIV HC CLG;HOLISKOL;Privé;49 rue DE RIAVAL;;;35000;RENNES;Rennes;352909.1;6787943.9;EPSG:2154;48.09955775593688;-1.6654400715441522;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.09955775593688, -1.6654400715441522;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2017-11-01
0352925P;Ecole démocratique GRAINE DE SENS;ECOLE SECONDAIRE PRIVEE;GRAINE DE SENS;Privé;1 rue du Grand-Guéret;;;35290;MUEL;Muel;317052.2;6793572.6;EPSG:2154;48.13006647062335;-2.1510396972239945;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35201;Ille-et-Vilaine;Bretagne;Rennes;48.13006647062335, -2.1510396972239945;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2018-06-01
0352958A;Collège Françoise-Elie;COLLEGE;FRANCOISE ELIE;Public;8 rue de la Costardais;;;35310;BREAL SOUS MONTFORT;Bréal-sous-Montfort;338020.3;6782912.1;EPSG:2154;48.04628346107779;-1.8609149928539739;Correcte;Rue;340;COLLEGE;1;OUVERT;035;53;14;35037;Ille-et-Vilaine;Bretagne;Rennes;48.04628346107779, -1.8609149928539739;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2020-09-01
0352959B;Collège Marie-Curie;COLLEGE;MARIE CURIE;Public;2 esplanade Roger-Jouan;;;35890;LAILLE;Laillé;348517.9;6775127.3;EPSG:2154;47.98208062263773;-1.7140524721419692;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35139;Ille-et-Vilaine;Bretagne;Rennes;47.98208062263773, -1.7140524721419692;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2020-09-01
0350021H;Collège François Brune;COLLEGE;FRANCOIS BRUNE;Public;21 RUE DU MONT ST MICHEL;;;35610;PLEINE FOUGERES;Pleine-Fougères;363188.5;6835794.9;EPSG:2154;48.53474735841283;-1.564719784063516;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35222;Ille-et-Vilaine;Bretagne;Rennes;48.53474735841283, -1.564719784063516;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350760L;Collège Cleunay;COLLEGE;CLEUNAY;Public;26 rue ANDREE RECIPON;;;35000;RENNES;Rennes;349648.7;6788054.9;EPSG:2154;48.098814254968495;-1.709250420726049;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.098814254968495, -1.709250420726049;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-04-01
0350770X;Collège privé Sainte Marie;COLLEGE PRIVE;STE MARIE;Privé;8 BOULEVARD DE LA CHESNARDIERE;;20464;35304;FOUGERES CEDEX;Fougères;389253.2;6813646.0;EPSG:2154;48.348796343496964;-1.1962296673217507;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35115;Ille-et-Vilaine;Bretagne;Rennes;48.348796343496964, -1.1962296673217507;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350780H;Collège privé Immaculée;COLLEGE PRIVE;IMMACULEE;Privé;2 rue Antoine de Saint-Exupéry;;96214;35762;ST GREGOIRE CEDEX;Saint-Grégoire;352552.6;6794685.8;EPSG:2154;48.159927985198166;-1.675580497757275;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35278;Ille-et-Vilaine;Bretagne;Rennes;48.159927985198166, -1.675580497757275;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350836U;Collège privé Saint-Martin quartier Sainte Geneviève;COLLEGE PRIVE;ST MARTIN QUARTIER STE GENEVIEVE;Privé;14 D rue GINGUENE;;;35044;RENNES CEDEX;Rennes;351418.1;6787976.4;EPSG:2154;48.099055736554845;-1.6854604057056215;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.099055736554845, -1.6854604057056215;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350853M;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;4 RUE DU HOCK;;4 BIS;35260;CANCALE;Cancale;343144.9;6852558.5;EPSG:2154;48.67452938898222;-1.849639975899824;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35049;Ille-et-Vilaine;Bretagne;Rennes;48.67452938898222, -1.849639975899824;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350863Y;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;6 rue JEAN DE LA MENNAIS;;73091;35130;LA GUERCHE DE BRETAGNE;La Guerche-de-Bretagne;384645.8;6768480.4;EPSG:2154;47.94075348952326;-1.225719943719011;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35125;Ille-et-Vilaine;Bretagne;Rennes;47.94075348952326, -1.225719943719011;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350870F;Collège privé La Providence;COLLEGE PRIVE;LA PROVIDENCE;Privé;21 rue DE RENNES;;36007;35360;MONTAUBAN DE BRETAGNE;Montauban-de-Bretagne;325409.0;6800667.1;EPSG:2154;48.19862222136569;-2.045029640651294;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35184;Ille-et-Vilaine;Bretagne;Rennes;48.19862222136569, -2.045029640651294;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350874K;Collège privé Saint Yves;COLLEGE PRIVE;ST YVES;Privé;3 rue Jeanne d'Arc;;22;35310;MORDELLES;Mordelles;338875.5;6785922.6;EPSG:2154;48.073796023393825;-1.8519406433123715;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35196;Ille-et-Vilaine;Bretagne;Rennes;48.073796023393825, -1.8519406433123715;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350877N;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;12 RUE CASIMIR PIGEON;;;35610;PLEINE FOUGERES;Pleine-Fougères;363071.0;6835898.3;EPSG:2154;48.53561487544822;-1.5663896338484005;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35222;Ille-et-Vilaine;Bretagne;Rennes;48.53561487544822, -1.5663896338484005;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350878P;Collège privé de L'Hermine;COLLEGE PRIVE;DE L'HERMINE;Privé;22 rue DE L'HERMINE;;2;35380;PLELAN LE GRAND;Plélan-le-Grand;320062.3;6778808.5;EPSG:2154;47.999244604121536;-2.097860534769451;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35223;Ille-et-Vilaine;Bretagne;Rennes;47.999244604121536, -2.097860534769451;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350883V;Collège privé Jeanne d'Arc;COLLEGE PRIVE;JEANNE D'ARC;Privé;26 rue DE FOUGERES;;37;35460;MAEN ROCH;Maen Roch;377214.5;6821074.0;EPSG:2154;48.40965812659731;-1.3640102532592797;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35257;Ille-et-Vilaine;Bretagne;Rennes;48.40965812659731, -1.3640102532592797;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350895H;Collège Rosa Parks;COLLEGE;ROSA PARKS;Public;10  RUE DE GASCOGNE;;;35000;RENNES;Rennes;349393.7;6790562.5;EPSG:2154;48.121201797651814;-1.7146799912092223;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.121201797651814, -1.7146799912092223;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-07-09
0350896J;Collège Jean Charcot;COLLEGE;JEAN CHARCOT;Public;28 rue LE POMELLEC;;;35400;ST MALO;Saint-Malo;330742.9;6849197.1;EPSG:2154;48.637389861767666;-2.01483963693606;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35288;Ille-et-Vilaine;Bretagne;Rennes;48.637389861767666, -2.01483963693606;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-07-09
0351785A;Collège privé Sainte Marie;COLLEGE PRIVE;STE MARIE;Privé;2 RUE DE LA MERIAIS;;90130;35501;VITRE CEDEX;Vitré;386751.0;6788528.9;EPSG:2154;48.1219226646868;-1.211880146274436;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35360;Ille-et-Vilaine;Bretagne;Rennes;48.1219226646868, -1.211880146274436;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1972-09-25
0351847T;Collège Georges Brassens;COLLEGE;GEORGES BRASSENS;Public;Rue GEORGES BRASSENS;;45123;35651;LE RHEU CEDEX;Le Rheu;342922.4;6788555.3;EPSG:2154;48.099666673032004;-1.7998499599513993;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35240;Ille-et-Vilaine;Bretagne;Rennes;48.099666673032004, -1.7998499599513993;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1974-05-08
