Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0351851X;Collège La Binquenais;COLLEGE;LA BINQUENAIS;Public;40 boulevard OSCAR LEROUX;;90302;35203;RENNES CEDEX 2;Rennes;353010.9;6786928.0;EPSG:2154;48.09048614864535;-1.6632694028595163;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.09048614864535, -1.6632694028595163;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1974-05-08
0351852Y;Collège de Fontenay;COLLEGE;DE FONTENAY;Public;35 rue ANTOINE CHATEL;;97628;35176;CHARTRES DE BRETAGNE CEDEX;Chartres-de-Bretagne;350118.0;6781652.3;EPSG:2154;48.0415527618465;-1.6978431215445224;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35066;Ille-et-Vilaine;Bretagne;Rennes;48.0415527618465, -1.6978431215445224;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1974-05-08
0351882F;Collège La Roche Aux Fées;COLLEGE;LA ROCHE AUX FEES;Public;Rue Anatole Le Braz;;;35240;RETIERS;Retiers;372734.0;6766616.7;EPSG:2154;47.91816484911983;-1.3836301754592997;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35239;Ille-et-Vilaine;Bretagne;Rennes;47.91816484911983, -1.3836301754592997;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1975-04-01
0351909K;Collège Gérard de Nerval;COLLEGE;GERARD DE NERVAL;Public;35 rue du Collège;;50607;35506;VITRE CEDEX;Vitré;386510.6;6788212.7;EPSG:2154;48.11896604642633;-1.2148796543812153;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35360;Ille-et-Vilaine;Bretagne;Rennes;48.11896604642633, -1.2148796543812153;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1976-02-20
0351997F;Collège privé Sainte Jeanne-d'Arc - La Salle;COLLEGE PRIVE;SAINTE-JEANNE-D'ARC LA SALLE;Privé;6 rue Jeanne d'Arc;;;35300;FOUGERES;Fougères;389296.5;6814300.9;EPSG:2154;48.354700811595464;-1.1961155682075912;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35115;Ille-et-Vilaine;Bretagne;Rennes;48.354700811595464, -1.1961155682075912;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1977-11-08
0352008T;Collège Les Rochers Sévigné;COLLEGE;LES ROCHERS SEVIGNE;Public;1 allée PIERRE DE GENNES;;30614;35506;VITRE CEDEX;Vitré;387797.2;6787394.5;EPSG:2154;48.11223035171698;-1.197029727652748;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35360;Ille-et-Vilaine;Bretagne;Rennes;48.11223035171698, -1.197029727652748;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1978-09-01
0352183H;Collège Mathurin Méheut;COLLEGE;MATHURIN MEHEUT;Public;8 place BELLEVUE;;22226;35520;MELESSE;Melesse;351007.6;6801192.9;EPSG:2154;48.217550623336045;-1.7015301621720638;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35173;Ille-et-Vilaine;Bretagne;Rennes;48.217550623336045, -1.7015301621720638;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1986-09-01
0352541X;Collège Théodore Monod;COLLEGE;THEODORE MONOD;Public;Chemin DE SEICHE;;67129;35771;VERN SUR SEICHE CEDEX;Vern-sur-Seiche;356621.5;6781395.0;EPSG:2154;48.04268888855317;-1.6105197686960293;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35352;Ille-et-Vilaine;Bretagne;Rennes;48.04268888855317, -1.6105197686960293;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2000-09-01
0352760K;Collège Germaine Tillion;COLLEGE;GERMAINE TILLION;Public;;BIARDEL;;35520;LA MEZIERE;La Mézière;347783.7;6800503.0;EPSG:2154;48.209620117558444;-1.7442999284505625;Parfaite;Lieu-dit;340;COLLEGE;1;OUVERT;035;53;14;35177;Ille-et-Vilaine;Bretagne;Rennes;48.209620117558444, -1.7442999284505625;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2008-09-01
0352921K;Ecole démocratique NOESIS;ECOLE SECONDAIRE PRIVEE;NOESIS;Privé;;Le Tertre Gérault;;35580;GUIGNEN;Guignen;339521.4;6767673.3;EPSG:2154;47.9102323393805;-1.8283103180893239;Parfaite;Rue;340;COLLEGE;1;OUVERT;035;53;14;35127;Ille-et-Vilaine;Bretagne;Rennes;47.9102323393805, -1.8283103180893239;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2018-06-01
0353039N;Collège privé HC Montessori Workshop St-Grégoire;COLLEGE PRIVE HORS CONTRAT;THE MONTESSORI WORKSHOP;Privé;5 parc de Brocéliande;;;35760;ST GREGOIRE;Saint-Grégoire;351604.1;6794856.4;EPSG:2154;48.16095460867549;-1.6884506253048734;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35278;Ille-et-Vilaine;Bretagne;Rennes;48.16095460867549, -1.6884506253048734;10;HORS CONTRAT;06;MINISTERE DE L'EDUCATION NATIONALE;2021-09-01
0350002M;Collège Pierre Brossolette;COLLEGE;PIERRE BROSSOLETTE;Public;18 rue THEODORE BOTREL;;17112;35171;BRUZ CEDEX;Bruz;346537.0;6779580.2;EPSG:2154;48.021013875335434;-1.7441403383784257;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35047;Ille-et-Vilaine;Bretagne;Rennes;48.021013875335434, -1.7441403383784257;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350003N;Collège René Cassin;COLLEGE;RENE CASSIN;Public;1 rue Pierre-de-Coubertin;;;35260;CANCALE;Cancale;342714.0;6853197.5;EPSG:2154;48.68002805208035;-1.8560145107913542;Correcte;Rue;340;COLLEGE;1;OUVERT;035;53;14;35049;Ille-et-Vilaine;Bretagne;Rennes;48.68002805208035, -1.8560145107913542;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350040D;Collège Angèle Vannier;COLLEGE;ANGELE VANNIER;Public;1 boulevard du Collège;;17;35460;MAEN ROCH;Maen Roch;376555.9;6821240.0;EPSG:2154;48.41082163358304;-1.3730204118520892;Parfaite;Rue;340;COLLEGE;1;OUVERT;035;53;14;35257;Ille-et-Vilaine;Bretagne;Rennes;48.41082163358304, -1.3730204118520892;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350041E;Collège de Roquebleue;COLLEGE;DE ROQUEBLEUE;Public;32  RUE JANVIER;;;35420;ST GEORGES DE REINTEMBAULT;Saint-Georges-de-Reintembault;386572.1;6831369.4;EPSG:2154;48.50672706811636;-1.245219903061233;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35271;Ille-et-Vilaine;Bretagne;Rennes;48.50672706811636, -1.245219903061233;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350044H;Collège Chateaubriand;COLLEGE;CHATEAUBRIAND;Public;26 boulevard VILLEBOIS MAREUIL;;88;35406;ST MALO CEDEX;Saint-Malo;331546.7;6850612.6;EPSG:2154;48.65055490209744;-2.005169458938391;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35288;Ille-et-Vilaine;Bretagne;Rennes;48.65055490209744, -2.005169458938391;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1965-05-01
0350708E;Collège Paul Féval;COLLEGE;PAUL FEVAL;Public;Route DE  DINAN;;65;35120;DOL DE BRETAGNE;Dol-de-Bretagne;348426.9;6837135.7;EPSG:2154;48.53894707804135;-1.7654001329716966;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35095;Ille-et-Vilaine;Bretagne;Rennes;48.53894707804135, -1.7654001329716966;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1966-11-08
0350762N;Collège Thérèse Pierre;COLLEGE;THERESE PIERRE;Public;26 bis rue DUGUAY-TROUIN;;10133;35301;FOUGERES CEDEX;Fougères;389378.9;6812856.8;EPSG:2154;48.34176600093982;-1.1939699404540158;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35115;Ille-et-Vilaine;Bretagne;Rennes;48.34176600093982, -1.1939699404540158;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1968-04-01
0350767U;Collège privé Saint Magloire;COLLEGE PRIVE;ST MAGLOIRE;Privé;2  RUE DU CHANOINE BOURSIER;;70;35120;DOL DE BRETAGNE;Dol-de-Bretagne;349294.3;6838458.7;EPSG:2154;48.5512967188306;-1.7547498952236305;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35095;Ille-et-Vilaine;Bretagne;Rennes;48.5512967188306, -1.7547498952236305;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350773A;Collège privé Choisy;COLLEGE PRIVE;CHOISY;Privé;3 avenue DE LA BORDERIE;;32;35401;ST MALO CEDEX;Saint-Malo;333272.9;6851450.3;EPSG:2154;48.659056079339656;-1.982499712770811;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35288;Ille-et-Vilaine;Bretagne;Rennes;48.659056079339656, -1.982499712770811;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350775C;Collège privé Le Cleu Saint Joseph;COLLEGE PRIVE;LE CLEU ST JOSEPH;Privé;22 rue ST MICHEL;;80306;35603;REDON CEDEX;Redon;318874.3;6740198.1;EPSG:2154;47.65178225046413;-2.080470634345486;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35236;Ille-et-Vilaine;Bretagne;Rennes;47.65178225046413, -2.080470634345486;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-12
0350835T;Collège privé La Tour d'Auvergne La Salle;COLLEGE PRIVE;LA TOUR D'AUVERGNE LA SALLE;Privé;6 rue DE LA SANTE;;;35000;RENNES;Rennes;351457.9;6789048.0;EPSG:2154;48.10870279883151;-1.6857804410226962;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.10870279883151, -1.6857804410226962;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350848G;Collège privé Saint André;COLLEGE PRIVE;ST ANDRE;Privé;7 RUE ABBE JARRY;;;35560;VAL COUESNON;Val-Couesnon;368452.4;6827491.7;EPSG:2154;48.46288776357093;-1.4871465761621148;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35004;Ille-et-Vilaine;Bretagne;Rennes;48.46288776357093, -1.4871465761621148;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350851K;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;6  RUE DE L'HOTEL DE VILLE;;;35470;BAIN DE BRETAGNE;Bain-de-Bretagne;349972.8;6759585.2;EPSG:2154;47.843234178285904;-1.6822394639047937;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35012;Ille-et-Vilaine;Bretagne;Rennes;47.843234178285904, -1.6822394639047937;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350854N;Collège privé Saint Joseph;COLLEGE PRIVE;ST JOSEPH;Privé;1 rue DU PRIEURE;;92147;35221;CHATEAUBOURG CEDEX;Châteaubourg;372334.3;6788127.0;EPSG:2154;48.111236712930705;-1.405029772324588;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35068;Ille-et-Vilaine;Bretagne;Rennes;48.111236712930705, -1.405029772324588;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1958-09-01
0350887Z;Collège privé Notre-Dame;COLLEGE PRIVE;NOTRE DAME;Privé;10 RUE DE LA CHAPELLE;;58;35290;ST MEEN LE GRAND;Saint-Méen-le-Grand;314719.8;6800391.0;EPSG:2154;48.18991503661489;-2.1883405890972463;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35297;Ille-et-Vilaine;Bretagne;Rennes;48.18991503661489, -2.1883405890972463;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1968-03-28
0350970P;Collège Le Chêne Vert;COLLEGE;LE CHENE VERT;Public;2 rue DU CHENE VERT;;37058;35470;BAIN DE BRETAGNE;Bain-de-Bretagne;349536.9;6759753.6;EPSG:2154;47.84451446598097;-1.6881903092642563;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35012;Ille-et-Vilaine;Bretagne;Rennes;47.84451446598097, -1.6881903092642563;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-03-12
0351638R;Collège Anne de Bretagne;COLLEGE;ANNE DE BRETAGNE;Public;15 rue MARTENOT;;;35069;RENNES CEDEX;Rennes;352513.2;6789494.0;EPSG:2154;48.11327142418572;-1.6719805345060357;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.11327142418572, -1.6719805345060357;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1972-02-14
0351796M;Collège Emile Zola;COLLEGE;EMILE ZOLA;Public;Avenue JANVIER;;;35044;RENNES CEDEX;Rennes;352381.2;6788762.4;EPSG:2154;48.106629422819154;-1.6731696810760333;Moyenne;Rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.106629422819154, -1.6731696810760333;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1973-03-20
0351849V;Collège Amand Brionne;COLLEGE;AMAND BRIONNE;Public;27  RUE DE RENNES;;95025;35250;ST AUBIN D AUBIGNE;Saint-Aubin-d'Aubigné;358469.5;6805443.1;EPSG:2154;48.25968023850401;-1.6045706314353363;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35251;Ille-et-Vilaine;Bretagne;Rennes;48.25968023850401, -1.6045706314353363;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1974-05-08
0351850W;Collège Camille Guérin;COLLEGE;CAMILLE GUERIN;Public;3 rue MAURICE;;41;35290;ST MEEN LE GRAND;Saint-Méen-le-Grand;314472.3;6800521.7;EPSG:2154;48.19094226128248;-2.191779488347398;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35297;Ille-et-Vilaine;Bretagne;Rennes;48.19094226128248, -2.191779488347398;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1974-05-08
0352030S;Collège Morvan Lebesque;COLLEGE;MORVAN LEBESQUE;Public;34 avenue BEAUSEJOUR;;116;35310;MORDELLES;Mordelles;339746.2;6785751.0;EPSG:2154;48.07273530878959;-1.840130398044565;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35196;Ille-et-Vilaine;Bretagne;Rennes;48.07273530878959, -1.840130398044565;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1979-09-01
0352069J;Collège privé Saint Vincent-Providence;COLLEGE PRIVE;ST VINCENT-PROVIDENCE;Privé;57 rue de Paris;;;35064;RENNES CEDEX;Rennes;353026.0;6789504.2;EPSG:2154;48.11363570912166;-1.6651100452186143;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.11363570912166, -1.6651100452186143;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0352070K;Collège privé Assomption;COLLEGE PRIVE;ASSOMPTION;Privé;18 boulevard PAUL PAINLEVE;;;35706;RENNES CEDEX 7;Rennes;353543.2;6790447.0;EPSG:2154;48.122379250771374;-1.6589194034352441;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35238;Ille-et-Vilaine;Bretagne;Rennes;48.122379250771374, -1.6589194034352441;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1980-09-01
0352247C;Collège Evariste Galois;COLLEGE;EVARISTE GALOIS;Public;9 rue Jean-Zay;;76056;35360;MONTAUBAN DE BRETAGNE;Montauban-de-Bretagne;324627.2;6800707.4;EPSG:2154;48.19853448408114;-2.055564984485267;Correcte;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35184;Ille-et-Vilaine;Bretagne;Rennes;48.19853448408114, -2.055564984485267;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1989-09-01
0352248D;Collège Victor Ségalen;COLLEGE;VICTOR SEGALEN;Public;34 rue Jules Ferry;;;35410;CHATEAUGIRON;Châteaugiron;365056.9;6780955.1;EPSG:2154;48.04311219255292;-1.4971700484694253;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35069;Ille-et-Vilaine;Bretagne;Rennes;48.04311219255292, -1.4971700484694253;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1989-09-01
0352860U;Collège Simone Veil;COLLEGE;SIMONE VEIL;Public;2 rue BERNARD PICOULT;;;35320;CREVIN;Crevin;351636.7;6769860.9;EPSG:2154;47.936436597389175;-1.6681504358840873;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35090;Ille-et-Vilaine;Bretagne;Rennes;47.936436597389175, -1.6681504358840873;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2014-09-01
0352957Z;Collège Gaël-Taburet;COLLEGE;GAEL TABURET;Public;;La Roche des Bouillons;;35480;GUIPRY MESSAC;Guipry-Messac;340468.1;6758106.8;EPSG:2154;47.82481520668784;-1.8078692161585905;Mauvaise;Ville;340;COLLEGE;1;OUVERT;035;53;14;35176;Ille-et-Vilaine;Bretagne;Rennes;47.82481520668784, -1.8078692161585905;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;2020-06-01
0352972R;Collège privé Saint-Louis;COLLEGE PRIVE;SAINT-LOUIS CESSON-SEVIGNE;Privé;Avenue de la Hublais;Domaine de la Hublais;;35510;CESSON SEVIGNE;Cesson-Sévigné;356658.3;6789759.7;EPSG:2154;48.1178507231933;-1.6165857137560533;Correcte;Rue;340;COLLEGE;1;OUVERT;035;53;14;35051;Ille-et-Vilaine;Bretagne;Rennes;48.1178507231933, -1.6165857137560533;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;2020-09-01
0353036K;Collège privé Sainte-Marie;COLLEGE PRIVE;SAINTE-MARIE;Privé;1 rue du Collège;ZA L'Hermitage;;35780;LA RICHARDAIS;La Richardais;328059.8;6845848.8;EPSG:2154;48.60579607809361;-2.0482763681865332;Parfaite;Numéro de rue;340;COLLEGE;1;OUVERT;035;53;14;35241;Ille-et-Vilaine;Bretagne;Rennes;48.60579607809361, -2.0482763681865332;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;2021-09-01
